"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.745056928E0,-2.100000143E0,3.372187500E2,-8.484375000E1,3.477346075E2
2.755056928E0,-2.175000191E0,3.370687561E2,-8.463750458E1,3.475393275E2
2.765056928E0,-2.100000143E0,3.370125122E2,-8.456250000E1,3.474660556E2
2.775056928E0,-2.118750095E0,3.371062622E2,-8.435625458E1,3.475069766E2
2.785056928E0,-2.306250095E0,3.371062622E2,-8.431875610E1,3.474990697E2
2.795056928E0,-2.212500095E0,3.371250000E2,-8.403750610E1,3.474485044E2
2.805056928E0,-2.100000143E0,3.370125122E2,-8.411250305E1,3.473568145E2
2.815056928E0,-2.231250048E0,3.365812683E2,-8.392500305E1,3.468938379E2
2.825056928E0,-2.250000000E0,3.366000061E2,-8.407500458E1,3.469484587E2
2.835056928E0,-2.081250191E0,3.369750061E2,-8.415000153E1,3.473293957E2
2.845056928E0,-2.006250143E0,3.370500183E2,-8.424375153E1,3.474244516E2
2.855056928E0,-2.137500048E0,3.368812561E2,-8.435625458E1,3.472888240E2
2.865056928E0,-1.931250095E0,3.371062622E2,-8.441250610E1,3.475195432E2
2.875056928E0,-2.193750143E0,3.370687561E2,-8.452500153E1,3.475120642E2
2.885056928E0,-2.212500095E0,3.371062622E2,-8.428125000E1,3.474893614E2
2.895056928E0,-2.175000191E0,3.370500183E2,-8.430000305E1,3.474391112E2
2.905056928E0,-2.062500000E0,3.370875244E2,-8.420625305E1,3.474520774E2
2.915056928E0,-1.800000072E0,3.369937744E2,-8.401875305E1,3.473142595E2
2.925056928E0,-1.762500048E0,3.369000244E2,-8.392500305E1,3.472004306E2
2.935056928E0,-1.818750024E0,3.367312622E2,-8.364375305E1,3.469690595E2
2.945056928E0,-1.931250095E0,3.366187744E2,-8.364375305E1,3.468605000E2
2.955056928E0,-1.837500095E0,3.366187744E2,-8.368125153E1,3.468690352E2
2.965056928E0,-1.856250048E0,3.366000061E2,-8.375625610E1,3.468690246E2
2.975056928E0,-1.968750119E0,3.368062744E2,-8.379375458E1,3.470788610E2
2.985056928E0,-2.100000143E0,3.370312500E2,-8.392500305E1,3.473296411E2
2.995056928E0,-2.193750143E0,3.370500183E2,-8.388750458E1,3.473393741E2
3.005056928E0,-2.306250095E0,3.372562561E2,-8.373750305E1,3.475040582E2
3.015056928E0,-2.475000143E0,3.372187500E2,-8.403750610E1,3.475412399E2
3.025056928E0,-2.512500048E0,3.372187500E2,-8.407500458E1,3.475505782E2
3.035056928E0,-2.493750095E0,3.373125000E2,-8.413125610E1,3.476550154E2
3.045056928E0,-2.550000191E0,3.372000122E2,-8.396250153E1,3.475054710E2
3.055056928E0,-2.643750191E0,3.371437683E2,-8.385000610E1,3.474244284E2
3.065056928E0,-2.737500191E0,3.368437500E2,-8.377500153E1,3.471159125E2
3.075056928E0,-2.943750143E0,3.366187744E2,-8.383125305E1,3.469128766E2
3.085056928E0,-2.981250048E0,3.366187744E2,-8.392500305E1,3.469358633E2
3.095056928E0,-2.756250143E0,3.366937561E2,-8.370000458E1,3.469524075E2
3.105056928E0,-2.887500048E0,3.367687683E2,-8.379375458E1,3.470488932E2
3.115056928E0,-2.831250191E0,3.368250122E2,-8.375625610E1,3.470939574E2
3.125056928E0,-2.756250143E0,3.370312500E2,-8.392500305E1,3.473342288E2
3.135056928E0,-2.681250095E0,3.370500183E2,-8.388750458E1,3.473427952E2
3.145056928E0,-2.756250143E0,3.370875244E2,-8.370000458E1,3.473345459E2
3.155056928E0,-2.681250095E0,3.374625244E2,-8.396250153E1,3.477611913E2
3.165056928E0,-2.662500143E0,3.374062500E2,-8.390625000E1,3.476928605E2
3.175056928E0,-2.700000048E0,3.376687622E2,-8.379375458E1,3.479207902E2
3.185056928E0,-2.475000143E0,3.375750122E2,-8.355000305E1,3.477694890E2
3.195056928E0,-2.400000095E0,3.374437561E2,-8.345625305E1,3.476190367E2
3.205056928E0,-2.587500095E0,3.375937500E2,-8.353125000E1,3.477839918E2
3.215056928E0,-2.606250048E0,3.378000183E2,-8.349375153E1,3.479753604E2
3.225056928E0,-2.456250191E0,3.378562622E2,-8.358750153E1,3.480513719E2
3.235056928E0,-2.550000191E0,3.378000183E2,-8.336250305E1,3.479434750E2
3.245056928E0,-2.643750191E0,3.378750000E2,-8.351250458E1,3.480529320E2
3.255056928E0,-2.606250048E0,3.375750122E2,-8.371875000E1,3.478110270E2
3.265056928E0,-2.475000143E0,3.374812622E2,-8.364375305E1,3.477010287E2
3.275056928E0,-2.831250191E0,3.373687744E2,-8.368125153E1,3.476035929E2
3.285056928E0,-2.812500000E0,3.372937622E2,-8.355000305E1,3.474990578E2
3.295056928E0,-2.981250048E0,3.370875244E2,-8.368125153E1,3.473318857E2
3.305056928E0,-2.812500000E0,3.371250000E2,-8.386875153E1,3.474120655E2
